gene,alias,high_mean,low_mean,fold_change,direction,p_value
CD274,PD-L1,14.117564900662252,14.841390066225165,0.9512292876591621,Down in High-Risk,0.19445744967977918
PDCD1,PD-1,81.73716490066225,74.13839139072849,1.1024944481163075,Up in High-Risk,0.7462764025884838
CTLA4,CTLA-4,36.95450728476821,31.195223178807957,1.1846207053185722,Up in High-Risk,0.05173748862904691
LAG3,LAG-3,141.38026092715234,144.89939139072848,0.9757132833347506,Down in High-Risk,0.042935122875374446
HAVCR2,TIM-3,210.150459602649,201.60385695364238,1.042393051293992,Up in High-Risk,0.10220988001826888
TIGIT,TIGIT,51.87155165562914,49.69926225165563,1.0437086851082336,Up in High-Risk,0.6664950447494619
SIGLEC15,SIGLEC15,16.524309933774838,28.87284966887417,0.5723130942468532,Down in High-Risk,1.1998047627122533e-06
IDO1,IDO1,97.74008079470198,101.20841721854308,0.9657307512630262,Down in High-Risk,0.14277413291537197
CD276,B7-H3,1747.0286423841058,1981.7330927152318,0.8815660639699776,Down in High-Risk,0.048954526568074884
