gene,alias,high_mean,low_mean,fold_change,direction,p_value,FDR_BH,significant_after_FDR
CD274,PD-L1,14.117564900662252,14.841390066225165,0.951229287659162,Down in High-Risk,0.1944574496797791,0.25001672101685884,False
PDCD1,PD-1,81.73716490066225,74.13839139072849,1.1024944481163077,Up in High-Risk,0.7462764025884838,0.7462764025884838,False
CTLA4,CTLA-4,36.95450728476821,31.195223178807957,1.1846207053185722,Up in High-Risk,0.0517374886290469,0.11640934941535554,False
LAG3,LAG-3,141.38026092715234,144.89939139072848,0.9757132833347506,Down in High-Risk,0.0429351228753744,0.11640934941535554,False
HAVCR2,TIM-3,210.150459602649,201.6038569536424,1.042393051293992,Up in High-Risk,0.1022098800182688,0.18397778403288384,False
TIGIT,TIGIT,51.87155165562914,49.69926225165563,1.0437086851082336,Up in High-Risk,0.6664950447494619,0.7462764025884838,False
SIGLEC15,SIGLEC15,16.524309933774838,28.87284966887417,0.5723130942468532,Down in High-Risk,1.1998047627122531e-06,1.0798242864410278e-05,True
IDO1,IDO1,97.74008079470198,101.20841721854308,0.9657307512630262,Down in High-Risk,0.1427741329153719,0.2141611993730578,False
CD276,B7-H3,1747.0286423841058,1981.733092715232,0.8815660639699776,Down in High-Risk,0.0489545265680748,0.11640934941535554,False
