gene,role,spearman_r,p_value,direction,consistent_with_ferroptosis,FDR
SLC7A11,negative,0.6354,1.489852493294246e-35,positive,True,1.93680824128252e-34
TFRC,positive,0.2834,5.492010723337979e-07,positive,True,3.5698069701696867e-06
FTL,iron,0.2309,5.0896879494620986e-05,positive,True,0.00022055314447669096
FTH1,iron,0.2193,0.00012174508608739318,positive,True,0.00039567152978402785
HMOX1,iron,0.183,0.0014026489957608735,positive,True,0.003039072824148559
ACSL4,positive,0.1205,0.036309859466874726,positive,True,0.05900352163367143
NFE2L2,negative,0.0337,0.5592322859158803,positive,True,0.6058349764088703
PTGS2,lipid_perox,-0.0059,0.9183882326676561,negative,False,0.9183882326676561
IREB2,iron,-0.0746,0.1959095485827644,negative,False,0.2315294665069034
LPCAT3,positive,-0.0912,0.11389527851170965,negative,False,0.14806386206522254
GPX4,negative,-0.1112,0.053511680173402805,negative,False,0.07729464913935961
NCOA4,iron,-0.1757,0.002175091880623272,negative,False,0.004039456349728934
ALOX15,positive,-0.1963,0.0006010997537052166,negative,False,0.0015628593596335634
