gene,coef,mRNA_direction,mRNA_FC_high_vs_low,protein_pct_positive,protein_dominant,concordant
TXNRD1,0.1120338366802685,upregulated,3.1609453557833525,100.0,Medium,True
MAFG,0.1842587754794873,upregulated,2.2899009915650947,83.33333333333334,Medium,True
G6PD,0.10802717885226372,upregulated,3.9507877078939044,45.45454545454545,Not detected,False
SQSTM1,0.030340661397387215,upregulated,2.464181558376968,50.0,Low,False
SLC7A11,0.05690420783056198,upregulated,6.818967376394121,,N/A,
GSR,0.07674462973682145,upregulated,1.5496093912424818,60.0,Medium,True
NCF2,0.08196776795249792,upregulated,2.291915356914105,0.0,Not detected,False
MSRA,-0.22603390591652062,downregulated,0.568414201727782,9.090909090909092,Not detected,True
HMOX1,0.04199929049239207,upregulated,1.6245451284035932,8.333333333333332,Not detected,False
GLRX2,0.16752373916884666,upregulated,1.29569538901498,16.666666666666664,Not detected,False
BACH1,0.03624954929392105,upregulated,1.3368083335416954,25.0,Not detected,False
