cell_type,n_markers,spearman_r,p_value
Mast cells,5,-0.1570929067120701,0.006225377370506294
Th17,5,-0.12463754351057206,0.030354168186891014
NK cells,6,-0.06971690326498933,0.22704854081962597
pDC,4,-0.0637211088603525,0.2696431044131124
Cytotoxic,8,-0.04519043574507723,0.4339389107255628
CD8 T cells,6,-0.04307914235132123,0.45574145726362547
B cells,6,-0.027571200058555064,0.6331911272895241
Tem,3,-0.022083405673959403,0.7022953600117161
Eosinophils,4,-0.008650595538531215,0.8809928634301798
Th1,5,0.007083027723687202,0.9024389127496104
T helper,4,0.032407656510079076,0.5747996562546874
T cells,5,0.04919474808143948,0.3942783740034484
Neutrophils,5,0.06935093412533704,0.22950299374079303
M2 Macrophages,6,0.06972082436291417,0.22702234433916027
aDC,6,0.07186610060535217,0.2130099797524885
iDC,5,0.08189321935427796,0.15571363013953596
Tfh,6,0.08773260551946815,0.1281990715295292
DC,5,0.08895729510466174,0.12293714487645657
TReg,5,0.10209732992836808,0.07647151814152804
Macrophages,6,0.10988027363164031,0.056471899705957
Tcm,5,0.11914103557503229,0.03852356884197651
Th2,5,0.13229283369251318,0.02147165414097161
M1 Macrophages,6,0.16899169620378907,0.003221212739774457
