gene,pathway,HR,coef,CI_low,CI_high,p_value,n,FDR,Bonferroni_p
TXNRD1,Thioredoxin system,1.5990939854138142,0.4694372097441267,1.3752520022223231,1.8593694610547857,1.0519772308583986e-09,302,6.34272764415616e-08,7.78463150835215e-08
MAFG,Nrf2-KEAP1 axis,1.6728534877968309,0.5145308436311585,1.4149442559441134,1.977773173662435,1.7142507146367998e-09,302,6.34272764415616e-08,1.268545528831232e-07
G6PD,Pentose phosphate (NADPH),1.3747124452127524,0.31824457849328724,1.2333311556381055,1.532300792356985,9.059332228951492e-09,302,2.234635283141368e-07,6.703905849424105e-07
SQSTM1,Nrf2 target genes,1.3402343346008385,0.2928444752414853,1.1882994458227274,1.5115954803793763,1.8398003116835674e-06,302,3.4036305766145995e-05,0.00013614522306458398
GCLM,Glutathione synthesis & recycling,1.341003999067559,0.2934185864483827,1.1802006180382745,1.523716983392451,6.724080199175001e-06,302,9.951638694779001e-05,0.0004975819347389501
SRXN1,Nrf2 target genes,1.4011743150160765,0.3373106814681299,1.2005922080137132,1.6352675354347679,1.8757380344036224e-05,302,0.00023134102424311344,0.0013880461454586807
SLC7A11,Nrf2 target genes,1.2197190236310074,0.19862052372091588,1.1017068547478805,1.3503723701055061,0.0001304719152058768,302,0.0012090697718168018,0.009654921725234883
ME1,Pentose phosphate (NADPH),1.3021834447418887,0.26404242844069215,1.137404444917324,1.4908344444557784,0.00013071024560181642,302,0.0012090697718168018,0.009672558174534414
GSR,Glutathione synthesis & recycling,1.3471542306501114,0.2979943902427252,1.1476191628388999,1.5813822040659444,0.00026903772703797964,302,0.0022120879778678324,0.019908791800810493
PGD,Pentose phosphate (NADPH),1.256146773973637,0.2280489194778776,1.1080703795665028,1.4240112784006376,0.0003659194416564283,302,0.0027078038682575695,0.027078038682575696
NCF2,NADPH oxidases (ROS producers),1.2497967168790503,0.2229809115923274,1.0989658476090614,1.4213288219283275,0.0006785473461499436,302,0.004564773055917803,0.05021250361509583
NQO1,Nrf2 target genes,1.2196509211428528,0.19856468759132986,1.0760440872961523,1.3824232547780375,0.001892229211571993,302,0.011668746804693958,0.1400249616563275
MSRA,Glutaredoxins,0.7163747536375777,-0.33355185001177395,0.5766742076311302,0.889918052269756,0.0025808339094319896,302,0.014690900715228248,0.19098170929796723
HMOX1,Nrf2 target genes,1.1493052794882317,0.13915765503749508,1.0347270061942893,1.2765711318561044,0.009402371200509624,302,0.04759288786256313,0.6957754688377122
CAT,Catalase,0.7655853869216322,-0.2671145261185103,0.6251843837860512,0.937516994775938,0.009761761917813088,302,0.04759288786256313,0.7223703819181685
TFR2,Iron metabolism,0.7783772986429698,-0.25054391266335985,0.6420267011952365,0.9436853917676628,0.010776417709115707,302,0.04759288786256313,0.7974549104745623
GLRX2,Glutaredoxins,1.2287265814933832,0.20597833349263986,1.048476542902673,1.439964510687735,0.010933501265723962,302,0.04759288786256313,0.8090790936635732
BACH1,Nrf2-KEAP1 axis,1.1966377998904851,0.17951579088693123,1.0396958764164685,1.3772700811916572,0.012325979786838253,302,0.050673472457001704,0.9121225042260307
HSPH1,Heat shock proteins,1.2178647704673573,0.19709913723500586,1.0408481597528851,1.424986522047216,0.01391054659747194,302,0.05417791832699597,1.0
PRDX1,Peroxiredoxins,1.1768801503699509,0.16286699672980545,1.0154528000743492,1.3639697366863217,0.030488605615311307,302,0.11280784077665185,1.0
FTL,Nrf2 target genes,1.1713208181208608,0.15813201645308517,1.0113295388710337,1.3566225510380163,0.03483172324870844,302,0.1227403581144964,1.0
SLC48A1,Iron metabolism,1.1635821106781623,0.15150327340433123,1.0087786609168223,1.3421411264387197,0.03752933397239635,302,0.1262350324526059,1.0
BAK1,Mitochondrial apoptosis/quality,1.1699648585223468,0.15697371290760595,0.9964765065124368,1.3736578446469687,0.05525554431655316,302,0.17273619603404236,1.0
GPX2,Glutathione peroxidases,1.15558007797268,0.14460244990845003,0.9958506993588531,1.3409292351424542,0.05675642563923458,302,0.17273619603404236,1.0
HMOX2,Nrf2 target genes,0.8143571827561,-0.20535620976925553,0.6583780852705432,1.0072899386284047,0.05835682298447377,302,0.17273619603404236,1.0
ACSL4,Ferroptosis regulators,1.1478469882628963,0.13788800352879316,0.9884233074549502,1.3329842573792732,0.07070934077213233,302,0.20124966219760737,1.0
STEAP3,Ferroptosis regulators,0.8555781652371528,-0.1559778219251974,0.7118740903689889,1.0282913885110563,0.0963946993445764,302,0.25719411766977274,1.0
HSP90AA1,Heat shock proteins,1.137770156117437,0.12907034352779678,0.9767674879598031,1.3253112374321474,0.09731669317234644,302,0.25719411766977274,1.0
GLRX,Glutaredoxins,1.131453781870457,0.12350333847899422,0.9732050208057379,1.3154347060900533,0.10813404514984121,302,0.27592825314097413,1.0
PRDX2,Peroxiredoxins,0.8662729757161197,-0.14355520563654592,0.7251979512105531,1.0347917657563575,0.11345198038362626,302,0.2798482182796115,1.0
CYBB,NADPH oxidases (ROS producers),1.118752519804016,0.11221424294317693,0.9720186478456077,1.2876370256289946,0.11774070886780429,302,0.2810584663295973,1.0
SOD1,Superoxide dismutases,0.8639229662450144,-0.14627167359166118,0.7163788627497093,1.0418549882122232,0.1258089307606578,302,0.2909331523840212,1.0
ACO1,Iron metabolism,0.8549979267411238,-0.15665623491249941,0.6956866010729954,1.0507913385195662,0.1364757230963978,302,0.3060364699737405,1.0
IDH2,Pentose phosphate (NADPH),0.8759905997734602,-0.13239991895553602,0.7342978940639205,1.0450248286081398,0.141360097501543,302,0.30766609456218186,1.0
PRDX3,Peroxiredoxins,0.8808113746980989,-0.12691177960380676,0.737980890839744,1.0512855921170856,0.15974901928033133,302,0.3288924987456886,1.0
SLC40A1,Ferroptosis regulators,0.8567101287256953,-0.15465565712685805,0.690465683560709,1.0629814951500984,0.1600017561465512,302,0.3288924987456886,1.0
IDH1,Pentose phosphate (NADPH),1.120785352014411,0.1140296467318553,0.9445857689921547,1.329852562388647,0.19131843458099457,302,0.38263686916198913,1.0
TXN,Thioredoxin system,1.1120825358941273,0.106234416000379,0.9409075545107047,1.314398593902078,0.21286719406106466,302,0.40561479367754455,1.0
TFRC,Ferroptosis regulators,1.10353646706648,0.0985199928985549,0.9447893703849699,1.2889568535782305,0.21376995883005726,302,0.40561479367754455,1.0
RAC1,NADPH oxidases (ROS producers),1.0756902237191321,0.07296252411772383,0.9542819638191857,1.212544616031496,0.23243834241668523,302,0.43001093347086766,1.0
PINK1,Mitochondrial apoptosis/quality,0.8939337286301651,-0.112123635605349,0.7404519451029637,1.0792294037008818,0.24336167495037545,302,0.43923814503238495,1.0
TXN2,Thioredoxin system,0.9084355460991642,-0.09603133906808838,0.7712399380623316,1.0700368337898363,0.2503076942107372,302,0.4410183183712988,1.0
KEAP1,Nrf2-KEAP1 axis,1.0983967568233735,0.09385162283013256,0.9338015160528462,1.292004151481617,0.2571853177069335,302,0.44259798861193206,1.0
ALOX12,Eicosanoid pathway,1.1196670157084925,0.11303133369926364,0.9132843511870263,1.372687733493019,0.27687916939395923,302,0.46566042125347695,1.0
PRDX4,Peroxiredoxins,1.0901167765938817,0.08628482499236258,0.9287599054318645,1.2795067698996565,0.29109750155903047,302,0.4786936692304056,1.0
SOD3,Superoxide dismutases,0.8284778150687702,-0.18816521969941882,0.5583897720074921,1.2292049827372447,0.34990735896947733,302,0.550005967566381,1.0
PRDX6,Peroxiredoxins,1.0804143898159444,0.07734466181832685,0.918257223701343,1.2712072647968782,0.35124537572643677,302,0.550005967566381,1.0
NOX1,NADPH oxidases (ROS producers),1.0598120140868523,0.058091547195373336,0.9349576600677437,1.2013394329765128,0.36369467531182764,302,0.550005967566381,1.0
FTH1,Nrf2 target genes,1.0732303677763257,0.070673135643394,0.9212916849540842,1.2502266558225938,0.36419314068584685,302,0.550005967566381,1.0
PRDX5,Peroxiredoxins,0.9321642671335328,-0.07024622753795745,0.7909135585526524,1.0986411998179826,0.40210041422604026,302,0.5951086130545395,1.0
HSPA1A,Heat shock proteins,1.0745976827230594,0.07194634290141788,0.9023642757670903,1.2797051154669432,0.4195253568508457,302,0.6087230668031879,1.0
DUOX1,NADPH oxidases (ROS producers),0.9307193698326416,-0.07179747589503785,0.778881027055922,1.112157717663182,0.42945606885655807,302,0.6111490210651019,1.0
NOX4,NADPH oxidases (ROS producers),0.9138856981719579,-0.09004977205286996,0.726723908827952,1.1492494731186462,0.4411912312063424,302,0.6114497814155105,1.0
SOD2,Superoxide dismutases,1.062892105383115,0.06099359409836862,0.9085222962364884,1.2434913621444905,0.4461930837356428,302,0.6114497814155105,1.0
NFE2L2,Nrf2-KEAP1 axis,1.0630300263219683,0.061123345736012955,0.8992285254050323,1.25666925029218,0.47405372010888047,302,0.6378177325101301,1.0
LPCAT3,Ferroptosis regulators,1.0622891589337446,0.060426163474287524,0.8931340637508342,1.2634813775314464,0.49471489508059363,302,0.6537303970707845,1.0
GSTP1,Glutathione synthesis & recycling,0.9638867074591172,-0.03678151466066381,0.8544630807854049,1.0873232626533014,0.5496673819662614,302,0.7136032678158482,1.0
ALOX15,Eicosanoid pathway,1.033807766882635,0.03324884669667093,0.9220020153979925,1.1591715430313017,0.5691150213037353,302,0.7141403293962655,1.0
TXNRD2,Thioredoxin system,0.947072902003561,-0.054379206706690206,0.785287677581358,1.142189171326352,0.5693821545186442,302,0.7141403293962655,1.0
NCF1,NADPH oxidases (ROS producers),1.0424141717596604,0.041539342054252804,0.882502515533801,1.2313022188136296,0.6249225309341538,302,0.7653116827584436,1.0
NCOA4,Ferroptosis regulators,0.9571876227270104,-0.04375585373878142,0.800728931884991,1.1442176105026525,0.6308650357873656,302,0.7653116827584436,1.0
ALOX5,Eicosanoid pathway,1.032735660372358,0.03221126230108413,0.875850116745198,1.2177231284368362,0.7016054480579628,302,0.837400050907891,1.0
BAX,Mitochondrial apoptosis/quality,0.9711154896264722,-0.029309878910261315,0.8282365382403476,1.138642465829964,0.7181258456875739,302,0.8435128981092137,1.0
HAMP,Iron metabolism,0.9658689541916569,-0.034727112158713734,0.7880300716695434,1.1838416707814332,0.7380177023593404,302,0.8516393430523295,1.0
PTGS2,Eicosanoid pathway,0.9543299197513471,-0.046745839486911314,0.7174927693403919,1.2693446326572497,0.7480615851135326,302,0.8516393430523295,1.0
HMGCR,Ferroptosis regulators,1.0306227883511319,0.030163268399654775,0.846502449978608,1.2547906174347212,0.763877636134311,302,0.8564688647566517,1.0
BCL2,Mitochondrial apoptosis/quality,0.976609364599286,-0.02366853841909915,0.8195797716379263,1.1637254652063027,0.7912893841637751,302,0.8739614093749158,1.0
HSPB1,Heat shock proteins,0.9848550432147161,-0.015260812888787981,0.8648327131327195,1.1215341896954942,0.8179708838831192,302,0.890144785402218,1.0
DUOX2,NADPH oxidases (ROS producers),0.9806708635870726,-0.01951838683751255,0.8150456935397972,1.1799526705206203,0.8361709457685996,302,0.8967630432880633,1.0
GPX1,Glutathione peroxidases,0.9842198320908576,-0.015906000285021166,0.832899489324379,1.163031902765032,0.8518574368466153,302,0.9005350046664219,1.0
GPX3,Glutathione peroxidases,1.0101700279537589,0.010118661193493469,0.8920588069111757,1.143919523545162,0.8732769780660528,302,0.908582439036251,1.0
GCLC,Glutathione synthesis & recycling,0.9856672971694361,-0.014436408126581314,0.8118716595091522,1.1966669969693031,0.8840261569001362,302,0.908582439036251,1.0
GPX4,Glutathione peroxidases,1.0054974726642738,0.005482416715997386,0.8640901291559159,1.1700459632860976,0.943478962733143,302,0.9564033320856518,1.0
IREB2,Iron metabolism,0.9972221454096665,-0.002781719988398099,0.8384246529821401,1.1860958569841118,0.9749239776405569,302,0.974923977640557,1.0
